id,Nombre,Desc,URL,Time (hrs),Area,Total horas,359.89,TOTAL UMAs,23.99266667
1,Open Source Software Development Methods,,https://www.coursera.org/learn/open-source-software-development-methods/,7,Linux,"Open Source Software Development, Linux and Git",,,
2,Linux for developers,,https://www.coursera.org/learn/linux-for-developers/,13,Linux,,,,
3,Linux Tools for Developers,,https://www.coursera.org/learn/linux-tools-for-developers/,9,Linux,,Total (hrs),,
4,Using Git for Distributed Development,,https://www.coursera.org/learn/git-distributed-development/,7,Git,,41.5,,
5,Source Control with Git,"This is an introductory course that will help get someone new to Git up and running with it quickly. We will show you the basics of working out of your own local repository, and then we will apply those skills to working with remote repositories such as the ones you would find on GitHub and BitBucket.",https://linuxacademy.com/cp/modules/view/id/195,5.5,Git,,,,
6,Go: The Complete Developer's Guide (Golang),Master the fundamentals and advanced features of the Go Programming Language (Golang),https://www.udemy.com/course/go-the-complete-developers-guide/,9,Go lan,"Golang, Protocol Buffers, gRPC, microservices, APIs",,,
7,"Complete Guide to Protocol Buffers 3 [Java, Golang, Python]",Google Protobuf with examples and exercises. Code in Java Go Python. Say Goodbye to JSON & XML. Pre-req to gRPC,https://www.udemy.com/course/protocol-buffers/,3.5,protocol buffers,,Total (hrs),,
8,gRPC [Golang] Master Class: Build Modern API & Microservices,"Better than REST API! Build a fast scalable HTTP/2 API for a Golang micro service with gRPC, Protocol Buffers (protobuf)",https://www.udemy.com/course/grpc-golang/,5.35,"GoLang, Microservices & APIs",,17.85,,
9,Introduction to Python Development,"This course is designed to teach you how to program using Python. We'll cover the building blocks of the language, programming design fundamentals, how to use the standard library, third-party packages, and how to create Python projects. In the end, you should have a grasp of how to program.",https://linuxacademy.com/cp/modules/view/id/311?redirect_uri=https://app.linuxacademy.com/search?query=python,15,Python basics,"Python, machine learning and AI",Total (hrs),,
10,Python 3 Scripting for System Administrators,kills that you need to write effective and powerful scripts and tools using Python 3,https://linuxacademy.com/cp/modules/view/id/168,10,Python scripting,,25,,
11,AWS Concepts,,https://linuxacademy.com/cp/learningpaths/preview/id/3974,1.4,aws,Amazon Web Services - Master Level,,,
12,AWS Essentials,,https://linuxacademy.com/cp/learningpaths/preview/id/3974,16,aws,,,,
13,AWS Cloud Practitioner (CLF-C01),,https://linuxacademy.com/cp/learningpaths/preview/id/3974,17,aws cert1,,,,
14,Lambda Deep Dive,,https://linuxacademy.com/cp/modules/view/id/204,12,Lambda,,,,
15,AWS Certified Developer - Associate Level,,https://linuxacademy.com/cp/learningpaths/preview/id/3974,31.7,aws dev cert2,,,,
16,"Automating AWS with Lambda, Python, and Boto3",,https://linuxacademy.com/cp/learningpaths/preview/id/3974,11.5,AWS automation,,,,
17,Amazon ECS Deep Dive,,https://linuxacademy.com/cp/learningpaths/preview/id/3974,11.65,containers (docker),,,,
18,Amazon EKS Deep Dive,,https://linuxacademy.com/cp/learningpaths/preview/id/3974,6.6,elastic containers (kubernetes),,,,
19,Managing AWS with Ansible,,https://linuxacademy.com/cp/learningpaths/preview/id/3974,4.65,ansible,,,,
,Using Terraform to Manage Applications and Infrastructure,,https://linuxacademy.com/cp/modules/view/id/358?redirect_uri=https://app.linuxacademy.com/search?query=terraform&page=2,16.5,,,,,
20,Deploying to AWS with Ansible and Terraform,,https://linuxacademy.com/cp/learningpaths/preview/id/3974,4.4,ansible & terraform,,Total (hrs),,
21,AWS Certified DevOps Engineer - Professional Level,,https://linuxacademy.com/cp/learningpaths/preview/id/3974,32.24,AWS cert3,,165.64,,
22,DevOps Essentials,,https://linuxacademy.com/cp/learningpaths/preview/id/3900,3.8,devops,Junior DevOps Engineer - Entry Level & Cloud Developer,,,
23,Ansible Quick Start,,https://linuxacademy.com/cp/learningpaths/preview/id/3900,2.25,ansible,,,,
,Learn Ansible by Doing,Learn Ansible By Doing: Hands-On Configuration Management and Deployment,https://linuxacademy.com/cp/modules/view/id/372?redirect_uri=https://app.linuxacademy.com/search?query=ansible,13.5,ansible,,,,
24,Beginner’s Guide to Containers and Orchestration,,https://linuxacademy.com/cp/learningpaths/preview/id/3900,1.15,containers and docker,,,,
25,Learn Docker by Doing,,https://linuxacademy.com/cp/learningpaths/preview/id/3900,26.15,"docker, orchestration",,,,
26,jenkins Quick Start,,https://linuxacademy.com/cp/learningpaths/preview/id/3900,1.65,jenkings,,Total (hrs),,
27,Learn Jenkins by Doing,Learn Jenkins By Doing: Build Management,https://linuxacademy.com/cp/modules/view/id/373?redirect_uri=https://app.linuxacademy.com/search?query=jenkings,16.75,jenkings,,,,
28,Implementing a Full CI/CD Pipeline,,https://linuxacademy.com/cp/learningpaths/preview/id/3900,22.85,jenkings,,88.1,,
29,NGINX Web Server Deep Dive,"how to install, configure, and customize NGINX for a wide variety of uses",,9.3,NGINX,Cloud Developer,9.3,,
30,Angular & NodeJS - The MEAN Stack Guide [2020 Edition],Learn how to connect your Angular Frontend to a NodeJS & Express & MongoDB Backend by building a real Application,https://www.udemy.com/course/the-complete-guide-to-angular-2/,12.5,angular - frontend | nodejs backend,angular,12.5,,
